,,,,,"This page is auto-generated, do not touch!
1. Hide Column E
2. Update the required versions in the Version Lookup page
3. Filter column A by ""yes""
4. Copy columns B - N to the FAS",,,,,,,
,Leaf and Sub-Leaf,,,hide,CPUID Field,,,,,,Virtualization,
Applicable for Selected Versions,Leaf,Sub-Leaf From,Sub-Leaf To,Header,Reg.,MSB,LSB,Field Size,Field Name,Configuration Details,Bit or Field Virtualization Type,Virtualization Details
yes,0x4,0x0,0x0,Field,EDX,0,0,1,WBINVD,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EDX,1,1,1,Cache Inclusiveness,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EDX,2,2,1,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x0,0x0,Field,EDX,31,3,29, ,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Sub-Leaf,,,,,Leaf 0x4 / Sub-Leaf 0x1,,,
yes,0x4,0x1,0x1,Field,EAX,4,0,5,Type,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EAX,7,5,3,Level,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EAX,8,8,1,Self Initializing,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EAX,9,9,1,Fully Associative,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EAX,13,10,4,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x1,0x1,Field,EAX,25,14,12,Addressable IDs Sharing this Cache,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EAX,31,26,6,Addressable IDs for Cores in Package,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EBX,11,0,12,L,,Fixed,0x3F
yes,0x4,0x1,0x1,Field,EBX,21,12,10,P,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EBX,31,22,10,W,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,ECX,31,0,32,Number of Sets,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EDX,0,0,1,WBINVD,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EDX,1,1,1,Cache Inclusiveness,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x1,0x1,Field,EDX,2,2,1,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x1,0x1,Field,EDX,31,3,29, ,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Sub-Leaf,,,,,Leaf 0x4 / Sub-Leaf 0x2,,,
yes,0x4,0x2,0x2,Field,EAX,4,0,5,Type,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EAX,7,5,3,Level,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EAX,8,8,1,Self Initializing,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EAX,9,9,1,Fully Associative,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EAX,13,10,4,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x2,0x2,Field,EAX,25,14,12,Addressable IDs Sharing this Cache,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EAX,31,26,6,Addressable IDs for Cores in Package,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EBX,11,0,12,L,,Fixed,0x3F
yes,0x4,0x2,0x2,Field,EBX,21,12,10,P,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EBX,31,22,10,W,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,ECX,31,0,32,Number of Sets,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EDX,0,0,1,WBINVD,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EDX,1,1,1,Cache Inclusiveness,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x2,0x2,Field,EDX,2,2,1,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x2,0x2,Field,EDX,31,3,29, ,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Sub-Leaf,,,,,Leaf 0x4 / Sub-Leaf 0x3,,,
yes,0x4,0x3,0x3,Field,EAX,4,0,5,Type,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EAX,7,5,3,Level,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EAX,8,8,1,Self Initializing,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EAX,9,9,1,Fully Associative,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EAX,13,10,4,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x3,0x3,Field,EAX,25,14,12,Addressable IDs Sharing this Cache,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EAX,31,26,6,Addressable IDs for Cores in Package,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EBX,11,0,12,L,,Fixed,0x3F
yes,0x4,0x3,0x3,Field,EBX,21,12,10,P,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EBX,31,22,10,W,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,ECX,31,0,32,Number of Sets,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EDX,0,0,1,WBINVD,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EDX,1,1,1,Cache Inclusiveness,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EDX,2,2,1,Complex cache indexing,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x3,0x3,Field,EDX,31,3,29,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x4,0x4,Sub-Leaf,,,,,Leaf 0x4 / Sub-Leaf 0x4,,,
yes,0x4,0x4,0x4,Field,EAX,4,0,5,Type,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EAX,7,5,3,Level,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EAX,8,8,1,Self Initializing,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EAX,9,9,1,Fully Associative,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EAX,13,10,4,Reserved,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EAX,25,14,12,Addressable IDs Sharing this Cache,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EAX,31,26,6,Addressable IDs for Cores in Package,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EBX,11,0,12,L,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EBX,21,12,10,P,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EBX,31,22,10,W,,Fixed,0x0
yes,0x4,0x4,0x4,Field,ECX,31,0,32,Number of Sets,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EDX,0,0,1,WBINVD,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EDX,1,1,1,Cache Inclusiveness,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EDX,2,2,1,Complex Cache Indexing,,Fixed,0x0
yes,0x4,0x4,0x4,Field,EDX,31,3,29,Reserved,,Fixed,0x0
yes,0x5,N/A,N/A,Leaf,,,,,Leaf 0x5,,#VE,
yes,0x5,N/A,N/A,Field,EAX,15,0,16,Smallest Monitor-line Size, ,#VE,
yes,0x5,N/A,N/A,Field,EAX,31,16,16,Reserved,,#VE,
yes,0x5,N/A,N/A,Field,EBX,15,0,16,Largest Monitor-line Size,,#VE,
yes,0x5,N/A,N/A,Field,EBX,31,16,16,Reserved,,#VE,
yes,0x5,N/A,N/A,Field,ECX,0,0,1,"b0: Monitor-Mwait Extensions, b1: Interrupt as Break-Event",,#VE,
yes,0x5,N/A,N/A,Field,ECX,1,1,1,Masked interrupts as break-event for MWAIT,,#VE,
yes,0x5,N/A,N/A,Field,ECX,31,2,30,Reserved,,#VE,
yes,0x5,N/A,N/A,Field,EDX,3,0,4,C0 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,7,4,4,C1 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,11,8,4,C2 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,15,12,4,C3 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,19,16,4,C4 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,23,20,4,C5 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,27,24,4,C6 Sub-States,,#VE,
yes,0x5,N/A,N/A,Field,EDX,31,28,4,C7 Sub-States,,#VE,
yes,0x6,N/A,N/A,Leaf,,,,,Leaf 0x6,,#VE,
yes,0x6,N/A,N/A,Field,EAX,0,0,1,Digital Temperature Sensor,,#VE,
yes,0x6,N/A,N/A,Field,EAX,1,1,1,Intel Turbo Boost Technology,,#VE,
yes,0x6,N/A,N/A,Field,EAX,2,2,1,ARAT,,#VE,
yes,0x6,N/A,N/A,Field,EAX,3,3,1,Reserved_3,,#VE,
yes,0x6,N/A,N/A,Field,EAX,4,4,1,PLN,,#VE,
yes,0x6,N/A,N/A,Field,EAX,5,5,1,ECMD,,#VE,
yes,0x6,N/A,N/A,Field,EAX,6,6,1,PTM,,#VE,
yes,0x6,N/A,N/A,Field,EAX,7,7,1,HWP,,#VE,
yes,0x6,N/A,N/A,Field,EAX,8,8,1,HWP Notification,,#VE,
yes,0x6,N/A,N/A,Field,EAX,9,9,1,HWP Activity Window,,#VE,
yes,0x6,N/A,N/A,Field,EAX,10,10,1,HWP Energy Performance Preference,,#VE,
yes,0x6,N/A,N/A,Field,EAX,11,11,1,HWP Package Level Request,,#VE,
yes,0x6,N/A,N/A,Field,EAX,12,12,1,Reserved_12,,#VE,
yes,0x6,N/A,N/A,Field,EAX,13,13,1,HDC,,#VE,
yes,0x6,N/A,N/A,Field,EAX,14,14,1,Favored Core Enable,,#VE,
yes,0x6,N/A,N/A,Field,EAX,15,15,1,HWP Notification Due Highest Change,,#VE,
yes,0x6,N/A,N/A,Field,EAX,16,16,1,HWP PECI Override,,#VE,
yes,0x6,N/A,N/A,Field,EAX,17,17,1,HWP Thread Request Support,,#VE,
yes,0x6,N/A,N/A,Field,EAX,18,18,1,Low Latency and Post IA32_HWP_REQUEST,,#VE,
